effective_date,name,old_ticker,new_ticker,reason
12/14/2011,Bellevue Gold Ltd,CEODB AU,DRGDB AU,Name Change
12/15/2011,Pacific National Holdings Pty Ltd,AIODC AU,AIO AU,Deferred Delivery
12/15/2011,Ionic Rare Earths Ltd,EZE AU,OVL AU,Change of Exchange
12/15/2011,Auscann Group Holdings Ltd,CRW AU,TWH AU,Name Change
12/16/2011,UCL Resources Ltd,UCLDA AU,UCL AU,Deferred Delivery
12/16/2011,Eftel Ltd,EFTDA AU,EFT AU,Deferred Delivery
12/16/2011,Structural Monitoring Systems PLC,SMNDC AU,SMN AU,Deferred Delivery
12/19/2011,Veris Ltd,ESW AU,OTC AU,Name Change
12/19/2011,Indopac Holdings Ltd,SPG AU,IDP AU,Change of Exchange
12/20/2011,Sydney Airport,MAPDA AU,MAP AU,Change of Exchange
12/20/2011,FBR Ltd,DMY AU,DMYDA AU,Deferred Delivery
12/21/2011,Sydney Airport,MAP AU,SYD AU,Reclassification of Shares
12/21/2011,Connected IO Ltd,AEXDA AU,AEX AU,Deferred Delivery
12/21/2011,Connected IO Ltd,AEXDB AU,AEXCD AU,Deferred Delivery
12/21/2011,Sparc Technologies Ltd,NRL AU,AJC AU,Name Change
12/21/2011,Sydney Airport,MAPDOO AU,SYDDOO AU,Name Change
12/21/2011,Sydney Airport,MAPIRQ AU,SYDIRQ AU,Name Change
12/21/2011,Sydney Airport,MAPIZR AU,SYDIZR AU,Name Change
12/21/2011,Sydney Airport,MAPIZZ AU,SYDIZZ AU,Name Change
12/21/2011,Sydney Airport,MAPKOA AU,SYDKOA AU,Name Change
12/21/2011,Sydney Airport,MAPKOB AU,SYDKOB AU,Name Change
12/21/2011,Sydney Airport,MAPKOP AU,SYDKOP AU,Name Change
12/21/2011,Sydney Airport,MAPKRA AU,SYDKRA AU,Name Change
12/21/2011,Sydney Airport,MAPKRB AU,SYDKRB AU,Name Change
12/21/2011,Sydney Airport,MAPKRC AU,SYDKRC AU,Name Change
12/21/2011,Sydney Airport,MAPKRP AU,SYDKRP AU,Name Change
12/21/2011,Sydney Airport,MAPKRQ AU,SYDKRQ AU,Name Change
12/21/2011,Sydney Airport,MAPKRR AU,SYDKRR AU,Name Change
12/21/2011,Sydney Airport,MAPSMA AU,SYDSMA AU,Name Change
12/21/2011,Sydney Airport,MAPSMX AU,SYDSMX AU,Name Change
12/21/2011,Sydney Airport,MAPSOA AU,SYDSOA AU,Name Change
12/21/2011,Sydney Airport,MAPSOE AU,SYDSOE AU,Name Change
12/21/2011,Sydney Airport,MAPSRT AU,SYDSRT AU,Name Change
12/21/2011,Sydney Airport,MAPSRW AU,SYDSRW AU,Name Change
12/21/2011,Sydney Airport,MAPSRX AU,SYDSRX AU,Name Change
12/21/2011,Sydney Airport,MAPSSB AU,SYDSSB AU,Name Change
12/21/2011,Sydney Airport,MAPSSR AU,SYDSSR AU,Name Change
12/21/2011,Sydney Airport,MAPSZA AU,SYDSZA AU,Name Change
12/21/2011,Sydney Airport,MAPSZB AU,SYDSZB AU,Name Change
12/21/2011,Sydney Airport,MAPSZC AU,SYDSZC AU,Name Change
12/21/2011,Sydney Airport,MAPSZW AU,SYDSZW AU,Name Change
12/21/2011,Sydney Airport,MAPSZX AU,SYDSZX AU,Name Change
12/22/2011,Tesoro Resources Ltd,VTP AU,COT AU,Name Change
